date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:49	72/72	---M--	200	added ('OK')	text/plain	etag:%2224044a6b0b719a5eec74724f84c06cbf%22	https://www.biotechpackages.com/robots.txt		(from )
10:57:51	41064/41064	---MCZ	200	added ('OK')	text/html	etag:W/%2217m8hlxigkjvom%22	https://www.biotechpackages.com/	G:/Html/Bio%20tech/www.biotechpackages.com/index.html	(from )
10:57:51	745592/745592	---MCZ	200	added ('OK')	text/css	etag:W/%2275e2fda7ce653189c0c8316d2b6721cd%22	https://www.biotechpackages.com/_next/static/css/458bfee36e1972a9.css	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/css/458bfee36e1972a9.css	(from https://www.biotechpackages.com/)
10:57:51	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%22837c0df77fd5009c9e46d446188ecfd0%22	https://www.biotechpackages.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://www.biotechpackages.com/)
10:57:52	2086/2086	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d78b9ff99eccf1a57f293e92e4603bd1%22	https://www.biotechpackages.com/_next/static/chunks/webpack-fa3b601c4ba67973.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/webpack-fa3b601c4ba67973.js	(from https://www.biotechpackages.com/)
10:57:52	141053/141053	---MCZ	200	added ('OK')	application/javascript	etag:W/%226081d0683ad8f48c96c1fa6ba4b00a6c%22	https://www.biotechpackages.com/_next/static/chunks/framework-3671d8951bf44e4e.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/framework-3671d8951bf44e4e.js	(from https://www.biotechpackages.com/)
10:57:52	89843/89843	---MCZ	200	added ('OK')	application/javascript	etag:W/%223eb67bd1fd4d46fc7969bd68da580d5d%22	https://www.biotechpackages.com/_next/static/chunks/main-73327cdccb95cc75.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/main-73327cdccb95cc75.js	(from https://www.biotechpackages.com/)
10:57:53	207920/207920	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fd799bf3c6191b24c1353fa5b9d1eaf%22	https://www.biotechpackages.com/_next/static/chunks/pages/_app-11a3d38b9de9daf4.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/pages/_app-11a3d38b9de9daf4.js	(from https://www.biotechpackages.com/)
10:57:53	9644/9644	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f6ed7e1b38f07c65a734ed2afff4d43a%22	https://www.biotechpackages.com/_next/static/chunks/776-35e92a84e591b0c4.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/776-35e92a84e591b0c4.js	(from https://www.biotechpackages.com/)
10:57:53	7450/7450	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280a2c5d1c95fefa43d76e25c12011b07%22	https://www.biotechpackages.com/_next/static/chunks/3081-86073cb7a46d3605.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/3081-86073cb7a46d3605.js	(from https://www.biotechpackages.com/)
10:57:53	62535/62535	---MCZ	200	added ('OK')	application/javascript	etag:W/%224769be2d99b313d7a11491472b787ec9%22	https://www.biotechpackages.com/_next/static/chunks/395-5c691649e7616334.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/395-5c691649e7616334.js	(from https://www.biotechpackages.com/)
10:57:54	7616/7616	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d367e9ce9230d8cb3cd0d4a0a21822ff%22	https://www.biotechpackages.com/_next/static/chunks/1033-1b35f39ee81f61ed.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/1033-1b35f39ee81f61ed.js	(from https://www.biotechpackages.com/)
10:57:54	53931/53931	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d3a3a906207f59bd597872da1565d522%22	https://www.biotechpackages.com/_next/static/chunks/6066-06e3ce1401d6ee92.js	G:/Html/Bio%20tech/www.biotechpackages.com/_next/static/chunks/6066-06e3ce1401d6ee92.js	(from https://www.biotechpackages.com/)
